Weights,Return,Risk,SharpeRatio,VaR_95
[0.5641867  0.12969198 0.09212824 0.21399308],0.24998673460914705,0.24741002177591873,0.9699960126372932,0.24998673460914705
[0.05047396 0.46927934 0.10273935 0.37750735],0.22492911174350522,0.24799587910456325,0.866664045062152,0.22492911174350522
[0.26034662 0.17806515 0.48835236 0.07323588],0.21003299596001088,0.23645014832769992,0.8459838040904167,0.21003299596001088
[0.03983875 0.3530884  0.24186099 0.36521187],0.21801530161421107,0.2462774444048881,0.8446380549256762,0.21801530161421107
[0.22349747 0.23589155 0.26338276 0.27722823],0.22481841510426875,0.2384114759615052,0.9010405822031575,0.22481841510426875
[0.04949496 0.31379797 0.28512772 0.35157935],0.2162753428537278,0.24534252692356373,0.8407647277473127,0.2162753428537278
[0.22093261 0.29682601 0.27228663 0.20995474],0.22179569377029257,0.23503144060800554,0.9011377083099854,0.22179569377029257
[0.12098106 0.36293224 0.27851205 0.23757466],0.21659049088545115,0.23709959500449415,0.8713236767930173,0.21659049088545115
[0.31370078 0.04423289 0.30473452 0.3373318 ],0.23070619753901245,0.2462387071481988,0.8963099266362716,0.23070619753901245
[0.1762402  0.18963293 0.10128653 0.53284034],0.23826684013725746,0.2595067029015965,0.8796182818592357,0.23826684013725746
[0.40500139 0.06441022 0.39335235 0.13723604],0.22502394925365657,0.24004089772585782,0.8957804744557645,0.22502394925365657
[0.23665508 0.15747293 0.29479363 0.31107836],0.2255461041834236,0.24155188575016018,0.8923387350673194,0.2255461041834236
[0.32169235 0.31345535 0.18752563 0.17732667],0.23015000233026223,0.23475769209251862,0.937775458465065,0.23015000233026223
[0.37100339 0.00550645 0.33467274 0.28881743],0.23107514635730486,0.2457220229482492,0.8996961025502579,0.23107514635730486
[0.10594586 0.32506368 0.25913892 0.30985154],0.21918585805344531,0.24102580784298783,0.8678981720900024,0.21918585805344531
[0.22418537 0.0692847  0.22978054 0.4767494 ],0.23367112463156808,0.2557194727175719,0.8746738066310678,0.23367112463156808
[0.23560155 0.30021279 0.33755112 0.12663453],0.2168480149379097,0.2331951340651894,0.8870168572217532,0.2168480149379097
[0.48712165 0.4320451  0.03430226 0.04653099],0.241588419810897,0.24151357449371919,0.9589043609510226,0.241588419810897
[0.2747683  0.22040653 0.43753963 0.06728555],0.212800022775965,0.23477476838616673,0.8638067206710712,0.212800022775965
[0.26512831 0.22141622 0.19378848 0.31966699],0.23179256668476145,0.24098054326722904,0.9203754115485183,0.23179256668476145
[0.16063152 0.41633476 0.17851272 0.244521  ],0.22340148661497652,0.237053141309012,0.9002263603703768,0.22340148661497652
[0.00673404 0.17355109 0.27118628 0.54852859],0.22161472392959486,0.26527431910603344,0.797720354698224,0.22161472392959486
[0.10285427 0.38739318 0.1579853  0.35176726],0.2247902214357182,0.24385863313410464,0.8807981028811848,0.2247902214357182
[0.03440241 0.26603193 0.41639857 0.28316709],0.20734105208193587,0.24376288081142578,0.8095615354767582,0.20734105208193587
[0.26841024 0.05854906 0.5722089  0.1008318 ],0.20802945437039988,0.2418121392212884,0.8189392600723742,0.20802945437039988
[0.41688873 0.01235005 0.4568956  0.11386562],0.22220724675498477,0.24257608803666336,0.874806946028874,0.22220724675498477
[0.06614212 0.30110652 0.28189037 0.35086099],0.21737844824718697,0.24483559168124366,0.8470110363577249,0.21737844824718697
[0.35442668 0.1146452  0.27382492 0.2571032 ],0.23145445831250971,0.24050736606492928,0.9207803566927929,0.23145445831250971
[0.16496046 0.37212664 0.03476655 0.42814635],0.23649120801564275,0.24991595840331204,0.9062694894022467,0.23649120801564275
[0.25219843 0.26224093 0.24542501 0.24013563],0.22590745051129682,0.2363903355325906,0.9133514279458779,0.22590745051129682
[0.06669041 0.20359457 0.23337611 0.49633891],0.22484103532853902,0.2574330508669388,0.8345510982565537,0.22484103532853902
[0.23893409 0.28663366 0.14683589 0.32759636],0.23248733733734583,0.24110567055285947,0.9227793640322872,0.23248733733734583
[0.50921844 0.26186018 0.13171581 0.09720557],0.24071225573028332,0.24020178406888285,0.9604935143367702,0.24071225573028332
[0.1016188  0.24099906 0.56772125 0.08966089],0.1978407025381781,0.23968859163674283,0.7836864543926972,0.1978407025381781
[0.19291219 0.67020356 0.03400413 0.10288012],0.2261201006846805,0.2403322510288488,0.8992555088194886,0.2261201006846805
[0.01663503 0.18703428 0.50130763 0.29502306],0.2031664556582059,0.24814306522599983,0.7784479307623479,0.2031664556582059
[0.36143083 0.42700412 0.06345978 0.14810527],0.2366310485998877,0.236977583884682,0.9563396034545227,0.2366310485998877
[0.30653987 0.33746817 0.0797618  0.27623016],0.23742578475070805,0.2394703519851759,0.9497033050871639,0.23742578475070805
[0.13263859 0.38534149 0.32105623 0.16096368],0.21266281391203182,0.2346062199730328,0.8638424588032118,0.21266281391203182
[0.30958336 0.29286795 0.31453448 0.08301421],0.220610971182165,0.23305166304781347,0.903709368248342,0.220610971182165
[0.03747009 0.12721252 0.42224635 0.41307104],0.21210102211288304,0.2547069131688423,0.7934650049286749,0.21210102211288304
[0.3481412  0.11006425 0.0918666  0.44992796],0.24585083552403209,0.2539033700797812,0.9288999805316618,0.24585083552403209
[0.04882394 0.71097344 0.2207696  0.01943302],0.2066008089549607,0.24142555847204672,0.8143330399615663,0.2066008089549607
[0.46632423 0.18850001 0.19692802 0.14824775],0.2373156486628979,0.2390249077769935,0.9510123893656297,0.2373156486628979
[0.16908581 0.29280543 0.24325392 0.29485484],0.2230651896841948,0.23921473552936143,0.890685890284727,0.2230651896841948
[0.00891424 0.51295263 0.26188901 0.21624412],0.20980105853035785,0.240519149607263,0.8307074877680526,0.20980105853035785
[0.30299389 0.20836572 0.29087785 0.19776254],0.225466397832278,0.2358391714640679,0.9136158191817008,0.225466397832278
[0.2921889  0.08078545 0.22141208 0.40561357],0.23544273171069063,0.24954412378902224,0.9034183145153591,0.23544273171069063
[0.32072553 0.34516807 0.05633083 0.27777557],0.23931099691111912,0.24016735447429602,0.9547966975489218,0.23931099691111912
[0.14243479 0.58062    0.1676145  0.10933071],0.217753058696983,0.23616712281384558,0.8796866228528369,0.217753058696983
[0.29766861 0.39252787 0.24174796 0.06805556],0.22239025693002396,0.2327516674794207,0.9125187339369027,0.22239025693002396
[0.01184097 0.22701854 0.38997258 0.3711679 ],0.21036566676255053,0.2500762867524913,0.8012181777189414,0.21036566676255053
[0.01270051 0.44158638 0.11385269 0.43186041],0.22422527811894521,0.25296455422705827,0.8468588762307738,0.22422527811894521
[0.0251464  0.25704433 0.51338617 0.20442309],0.1998066448821586,0.2429498281101717,0.7812586094775338,0.1998066448821586
[0.26860547 0.15334334 0.22819581 0.34985537],0.23168076150717468,0.24385911204538221,0.9090526068425929,0.23168076150717468
[0.30259448 0.13263895 0.28327297 0.2814936 ],0.22886854427582895,0.2406155729489066,0.9096191971011971,0.22886854427582895
[0.37391444 0.32492308 0.25475595 0.04640653],0.22559628390902464,0.23403217427553505,0.9212249750549036,0.22559628390902464
[0.08965044 0.4441059  0.22914903 0.23709463],0.21676723651945243,0.23804351141316918,0.8686111009367908,0.21676723651945243
[0.54120697 0.00467809 0.0813745  0.37274044],0.2549562902373034,0.2571003777894351,0.9527651897809433,0.2549562902373034
[0.31212936 0.1033994  0.27374183 0.31072941],0.23092202005128706,0.24290384116418115,0.9095040201606513,0.23092202005128706
[0.38640037 0.05825181 0.2349376  0.32041022],0.2373412698024817,0.24576953854061956,0.9250180927727456,0.2373412698024817
[0.14610989 0.46520376 0.22205878 0.16662757],0.2178206792250558,0.2348436675387732,0.8849320120192048,0.2178206792250558
[0.23647098 0.31568754 0.15315968 0.2946818 ],0.23085392522014897,0.23904717383469654,0.9238926429344512,0.23085392522014897
[0.31577214 0.18291067 0.07010172 0.43121547],0.24413386384245628,0.2508953997564197,0.9331931317583492,0.24413386384245628
[0.38734048 0.15504677 0.41539844 0.04221431],0.21951968853502182,0.23712077291579844,0.8835990451558718,0.21951968853502182
[0.39614227 0.11248388 0.02445941 0.46691444],0.2521692516441909,0.25732577611920315,0.9410998590829425,0.2521692516441909
[0.35336515 0.29285185 0.00442967 0.34935333],0.24608918637017202,0.24587846369916685,0.9601865198695398,0.24608918637017202
[0.27675695 0.02991181 0.592601   0.10073023],0.20767079779198447,0.24336520397305095,0.8122393611120904,0.20767079779198447
[0.38811298 0.16546151 0.3625026  0.0839229 ],0.22332756452249503,0.23634631390089594,0.9026058456403383,0.22332756452249503
[0.19296056 0.33013833 0.32194689 0.15495422],0.21600534135247226,0.2336921389779162,0.8815244802562215,0.21600534135247226
[0.29817076 0.27905717 0.10937828 0.31339379],0.23706582636421059,0.2410561938702535,0.941962215193802,0.23706582636421059
[0.19590128 0.63019384 0.1399928  0.03391209],0.2193032029099149,0.23720542345744602,0.882371068330414,0.2193032029099149
[0.0579578  0.37475839 0.18591592 0.38136789],0.2220384429012767,0.24688696671638108,0.8588482645374403,0.2220384429012767
[0.2369363  0.12151271 0.52443585 0.11711515],0.20875328358355102,0.23899245427853685,0.8316299532700369,0.20875328358355102
[0.34165131 0.27883728 0.11592774 0.26358367],0.23753995404529532,0.2390664663253236,0.9517853237335975,0.23753995404529532
[0.26154701 0.24068958 0.19561719 0.30214622],0.23085183860173233,0.2397393950308179,0.9212163006140162,0.23085183860173233
[0.38685    0.28674998 0.22729088 0.09910914],0.22947439455447685,0.23466233981156465,0.9352774489963587,0.22947439455447685
[0.05594744 0.45817188 0.07381407 0.4120666 ],0.22774924163403523,0.2506385744388624,0.868777849225879,0.22774924163403523
[0.03429173 0.42417148 0.51046848 0.03106831],0.19404078727159912,0.2391899552378352,0.7694335955228585,0.19404078727159912
[0.46820957 0.03921694 0.43367628 0.05889721],0.2242040219450973,0.24258994431710157,0.8829880502594138,0.2242040219450973
[0.12824433 0.12055738 0.25821806 0.49298024],0.2273531665794355,0.25724704322953845,0.8449199798401331,0.2273531665794355
[0.09112775 0.27219543 0.18064273 0.45603409],0.2270115549653362,0.25233190537904654,0.8600242392627558,0.2270115549653362
[0.44177528 0.53062528 0.01217792 0.01542152],0.23865127396152705,0.24203326660315316,0.9447101101867631,0.23865127396152705
[0.53732762 0.00517521 0.2401832  0.21731396],0.24230967489835442,0.2478418486455011,0.9373303022389773,0.24230967489835442
[0.54613264 0.26904457 0.08612018 0.09870261],0.24488077077044493,0.242785225210819,0.9674426051523096,0.24488077077044493
[0.08832824 0.12415352 0.46240613 0.3251121 ],0.2101932777951392,0.24782633931363812,0.8077966141515869,0.2101932777951392
[0.16764842 0.40319074 0.35725074 0.07191011],0.20993381597734445,0.23321598446767342,0.8572903629813492,0.20993381597734445
[0.48670626 0.06951342 0.30739631 0.13638401],0.23346957160953985,0.24183967700387357,0.9240401508060255,0.23346957160953985
[0.25215897 0.2001315  0.31905752 0.22865201],0.22239734785878695,0.23694484340592614,0.8963999587655713,0.22239734785878695
[0.07521435 0.51550915 0.31031495 0.09896155],0.2073813090775189,0.23590530439008525,0.8366972060583073,0.2073813090775189
[0.32910055 0.30199369 0.18976873 0.17913702],0.23056579063104382,0.23494613766215094,0.9387930051789749,0.23056579063104382
[0.25792251 0.04718743 0.4048676  0.29002247],0.22142823927827696,0.24431773597900422,0.8653822794774356,0.22142823927827696
[0.66348333 0.13027665 0.0808845  0.12535553],0.25309812512983215,0.2518423563754715,0.9652789492145533,0.25309812512983215
[0.38915624 0.18109983 0.24484478 0.18489915],0.23206166445737053,0.23732251438639024,0.9356957346905015,0.23206166445737053
[0.12238835 0.40833388 0.23110893 0.23816885],0.21868042023059892,0.23714170890117894,0.8799819365287599,0.21868042023059892
[0.2144919  0.24086994 0.28437411 0.26026405],0.22277241377352133,0.23764029285060115,0.8953549552612542,0.22277241377352133
[0.11503948 0.32184594 0.30883432 0.25428026],0.21558667095281242,0.23820634429045343,0.8630612738934161,0.21558667095281242
[0.12860051 0.3646577  0.30035079 0.20639101],0.21497422234615485,0.23586223059390174,0.8690421600356665,0.21497422234615485
[0.00596113 0.05252511 0.37331135 0.56820241],0.21802482990724859,0.27133022538929363,0.7666850591701789,0.21802482990724859
[0.30148961 0.04898999 0.38526552 0.26425488],0.22389433470168124,0.24282339377611623,0.8808637890091114,0.22389433470168124
[0.3120864  0.30988516 0.18818128 0.18984716],0.23001353610244007,0.23497371580387805,0.9363325397895799,0.23001353610244007
[0.36543119 0.10160147 0.3338938  0.19907354],0.2274440272417989,0.23910469290982816,0.909409282584855,0.2274440272417989
[0.19334367 0.21990654 0.09355217 0.49319762],0.23814069372203522,0.2551948369080302,0.8939863223183272,0.23814069372203522
[0.44444928 0.2553053  0.03014374 0.27010169],0.24751174834437428,0.243805397865956,0.9741857662846252,0.24751174834437428
[0.19300695 0.0251401  0.51555029 0.26630266],0.2120385786436488,0.24662253246561952,0.8192218960034158,0.2120385786436488
[0.20541491 0.30826167 0.29306922 0.1932542 ],0.2193792644681712,0.23455927882839506,0.8926496769345641,0.2193792644681712
[0.39216295 0.14606891 0.32380141 0.13796673],0.2271949779673564,0.23713197529420948,0.9159244665249499,0.2271949779673564
[0.44172176 0.10247155 0.00717534 0.44863135],0.2549363248142338,0.25763077333957285,0.950726194853256,0.2549363248142338
[0.23473616 0.38326752 0.27181144 0.11018488],0.21893699522924503,0.2325675040195417,0.8983929036435326,0.21893699522924503
[0.09251311 0.40033055 0.11070069 0.39645564],0.22781007936218456,0.24768350355965,0.8793887208145416,0.22781007936218456
[0.27116357 0.33864191 0.02564121 0.36455331],0.24085599088898849,0.24518522278908653,0.9415575223616786,0.24085599088898849
[0.10665906 0.09877107 0.36794538 0.42662448],0.2190090115146119,0.25347021224914185,0.8245900362807603,0.2190090115146119
[0.11063934 0.4393662  0.10415782 0.34583664],0.22728776249182195,0.24410714238578568,0.8901327522339411,0.22728776249182195
[0.28780442 0.07433662 0.32810832 0.30975064],0.2271575976797696,0.24373257099946533,0.8909666721574359,0.2271575976797696
